stock,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
000529.SZ,2,1,1,1,1,3,9,17,24,44,32,42,24,16,7,7,3,2,1,0,6
000530.SZ,6,3,1,6,7,7,12,16,20,36,21,38,31,15,7,4,2,3,1,1,15
000531.SZ,1,0,1,3,3,2,6,20,20,48,26,53,24,15,5,4,0,0,2,0,3
000532.SZ,0,0,1,0,2,7,5,11,31,48,17,51,26,11,9,2,0,0,0,0,4
000533.SZ,4,1,0,2,5,8,14,20,27,34,30,45,26,15,12,2,6,0,0,0,11
000534.SZ,2,1,1,0,4,3,9,18,37,39,29,27,25,19,10,8,4,2,0,0,4
000536.SZ,0,0,1,0,0,4,6,19,26,49,52,49,26,10,3,2,1,0,0,0,5
000537.SZ,5,2,4,4,5,10,18,21,23,32,22,33,21,11,10,10,5,8,3,3,4
000538.SZ,0,0,0,0,2,2,5,7,19,64,39,55,21,9,1,1,0,0,0,1,0
000539.SZ,1,0,1,5,3,5,6,25,33,42,30,26,19,13,19,3,5,3,0,1,7
000540.SZ,2,1,2,3,7,3,9,18,29,55,9,47,21,21,3,1,2,0,1,1,7
000541.SZ,1,1,0,0,2,5,7,10,26,41,25,53,24,7,3,3,0,4,0,0,3
000543.SZ,0,0,0,0,2,3,9,20,29,51,33,42,22,11,7,5,3,2,0,0,2
000544.SZ,0,2,0,1,6,0,3,15,21,41,47,69,20,10,4,3,0,0,0,0,4
000545.SZ,2,2,3,1,2,5,6,13,28,53,34,43,32,19,8,2,1,1,0,0,6
000546.SZ,3,0,2,2,5,8,15,27,28,32,17,37,19,14,13,6,2,7,3,0,9
000547.SZ,1,1,2,1,2,4,12,10,34,55,33,48,19,11,7,4,5,1,0,0,3
000548.SZ,2,1,2,3,3,4,9,18,26,47,27,35,34,17,5,3,0,0,1,0,13
000550.SZ,2,2,2,3,2,3,9,20,29,46,25,44,28,11,10,4,1,3,1,1,7
000551.SZ,2,0,1,0,2,7,12,16,25,40,15,57,31,12,5,4,1,3,0,0,4
000552.SZ,3,0,0,1,4,5,8,12,20,47,23,45,28,11,6,6,5,1,0,0,2
000553.SZ,0,0,0,1,5,4,9,7,21,55,39,50,24,9,11,6,0,0,0,1,2
000554.SZ,1,1,3,2,3,4,6,21,28,39,19,49,33,16,8,6,0,0,2,0,6
000555.SZ,1,0,1,2,4,2,9,11,27,48,25,52,22,22,9,2,1,1,0,0,2
000557.SZ,1,1,2,0,4,5,6,19,33,50,29,42,18,20,10,5,2,2,1,0,7
000558.SZ,1,1,3,3,3,5,11,9,32,51,30,54,15,13,12,5,1,2,1,0,5
000559.SZ,0,0,0,1,2,1,6,13,14,58,53,48,23,12,4,1,1,1,0,0,0
000560.SZ,1,1,2,1,3,4,8,16,32,43,34,44,32,10,4,4,4,1,1,0,7
000561.SZ,0,0,1,2,2,11,5,26,24,34,18,53,24,17,5,6,1,1,0,0,8
000563.SZ,0,0,0,1,0,3,1,7,25,55,53,61,14,8,4,2,2,1,0,0,0
000564.SZ,0,0,0,0,0,24,12,8,37,37,54,28,11,9,2,43,0,0,0,0,0
000565.SZ,2,2,1,1,0,5,12,10,26,39,28,33,40,19,10,2,1,1,0,0,3
000566.SZ,1,0,1,4,3,7,8,15,29,43,32,47,22,18,3,7,4,2,0,0,4
000567.SZ,2,0,2,0,1,1,5,19,24,53,22,34,29,20,10,2,2,1,1,0,3
000568.SZ,0,1,1,1,1,9,6,15,39,37,31,34,33,15,9,5,5,3,0,2,0
000570.SZ,2,1,1,2,1,3,9,13,32,42,38,54,31,13,6,3,0,1,0,0,5
000571.SZ,0,0,0,0,0,15,4,13,23,38,31,39,26,15,6,11,0,0,0,0,0
000572.SZ,2,1,1,3,2,7,8,18,26,46,35,44,21,11,13,2,2,2,1,1,7
000573.SZ,5,4,3,2,3,8,11,8,27,41,28,46,23,12,6,6,3,3,0,2,16
000576.SZ,2,0,1,3,2,5,8,14,33,45,27,47,21,20,4,6,7,3,0,1,1
000581.SZ,0,0,0,0,0,0,4,6,20,55,45,63,19,5,1,0,0,0,0,0,0
000582.SZ,2,1,2,1,1,3,3,15,15,59,23,50,26,6,6,3,2,0,0,0,5
000584.SZ,2,3,2,2,5,12,7,17,30,38,14,31,22,12,10,7,7,2,0,1,16
000586.SZ,1,0,1,0,1,7,9,19,22,34,33,50,29,21,6,2,2,1,0,0,3
000587.SZ,0,0,0,0,0,38,13,22,22,36,21,35,15,10,10,38,0,0,0,0,0
000589.SZ,0,1,0,1,4,3,10,10,27,48,43,41,28,13,6,2,4,1,0,1,2
000590.SZ,3,1,1,2,3,6,12,14,28,50,23,46,42,11,6,2,5,0,1,0,8
000591.SZ,2,0,1,2,3,6,9,16,27,48,19,50,22,16,5,5,3,0,0,1,2
000592.SZ,0,0,1,1,1,4,9,13,34,51,39,40,28,16,6,3,3,0,0,0,3
000593.SZ,4,0,4,2,7,4,11,12,36,28,33,38,27,17,8,7,2,0,1,0,13
000595.SZ,7,1,3,5,7,15,16,15,26,32,10,35,17,13,15,6,4,3,0,0,32
000596.SZ,0,1,1,1,1,5,9,18,31,52,28,38,23,8,11,11,4,2,2,0,2
000597.SZ,4,0,1,0,3,5,16,13,17,43,35,45,27,13,8,2,1,2,0,2,7
000598.SZ,0,0,0,0,1,0,2,5,19,56,41,57,18,4,0,0,0,0,0,0,0
000599.SZ,3,0,1,1,4,5,9,18,27,42,34,41,36,8,5,3,1,0,0,0,13
000600.SZ,1,1,0,2,3,5,10,15,35,43,40,36,30,15,4,3,1,0,0,0,11
000601.SZ,4,1,1,2,3,7,5,11,28,36,34,45,25,9,9,3,1,4,0,0,7
000603.SZ,1,0,1,1,3,7,11,12,24,46,28,43,31,17,4,5,3,5,2,1,0
000605.SZ,3,0,3,2,2,5,6,13,32,40,26,46,29,10,3,8,0,2,0,0,10
000606.SZ,0,0,0,0,0,26,14,15,15,40,36,43,17,18,5,32,0,0,0,0,0
000607.SZ,4,2,0,3,4,7,14,22,30,34,13,35,34,14,8,5,5,4,0,0,13
000608.SZ,5,1,1,4,2,3,5,19,29,45,16,54,20,17,8,4,2,0,1,0,10
000609.SZ,3,0,1,1,1,12,8,18,22,37,32,50,24,10,9,6,3,0,0,0,10
000610.SZ,6,1,3,3,8,4,11,12,25,28,16,45,31,16,9,4,5,3,2,1,14
000612.SZ,1,1,0,2,3,5,10,7,26,52,30,49,26,11,6,3,3,2,0,0,2
000615.SZ,5,3,3,4,3,5,17,16,26,39,15,35,26,16,9,6,7,2,1,0,10
000616.SZ,0,0,0,0,0,6,9,17,30,46,1,61,25,11,2,14,0,0,0,0,0
000617.SZ,2,0,0,1,0,3,5,9,30,57,16,52,23,10,5,3,1,0,2,0,4
000619.SZ,3,0,2,2,3,6,18,16,29,37,29,37,27,8,6,6,2,1,0,0,18
000620.SZ,11,4,0,4,11,11,9,20,31,24,19,35,15,14,6,2,3,0,0,1,39
000622.SZ,2,0,1,4,1,8,11,17,32,44,18,39,25,10,11,4,1,0,0,0,15
000623.SZ,0,0,0,0,1,2,4,9,25,48,49,54,20,8,5,1,0,0,0,0,1
000625.SZ,1,1,0,4,4,6,10,18,37,44,25,32,27,19,6,6,3,2,2,2,8
000626.SZ,1,0,0,1,3,10,11,31,29,44,28,42,20,13,10,3,3,3,0,0,3
000627.SZ,0,0,0,0,3,0,6,15,32,50,25,56,16,13,6,4,1,0,0,0,4
000628.SZ,2,0,1,0,4,8,11,19,27,37,21,39,34,18,9,6,2,2,2,0,5
000629.SZ,2,0,3,3,6,2,8,18,32,33,11,49,17,12,11,7,2,1,1,0,11
000630.SZ,0,2,0,2,5,2,10,10,25,50,16,51,26,12,8,4,3,3,1,0,1
000631.SZ,0,1,2,2,1,2,7,15,28,58,19,48,30,13,4,1,2,0,0,0,8
000632.SZ,5,2,0,1,6,6,10,17,31,21,32,46,32,13,8,4,1,1,2,0,13
000633.SZ,2,0,2,2,2,8,12,13,31,36,42,42,22,12,9,5,0,5,2,2,9
000635.SZ,4,2,1,1,6,7,15,15,24,31,34,47,21,15,8,5,3,3,0,0,11
000636.SZ,2,0,1,1,3,5,7,19,33,51,22,39,30,14,9,4,4,0,0,0,1
000637.SZ,3,3,0,2,3,8,10,11,30,42,16,46,30,15,7,2,1,2,1,1,10
000638.SZ,3,1,1,0,0,13,9,16,33,32,29,40,34,22,12,6,0,0,1,0,9
000639.SZ,1,0,1,1,3,1,12,17,20,48,27,47,27,13,5,2,3,0,0,0,6
000650.SZ,0,1,1,3,1,8,7,20,15,48,34,51,25,11,5,1,3,2,1,0,3
000651.SZ,0,0,0,0,1,1,4,6,24,66,36,56,22,12,3,2,0,0,0,0,1
000652.SZ,1,0,0,2,2,3,5,12,20,43,64,55,22,11,1,1,1,1,0,0,4
000655.SZ,1,2,1,1,4,8,9,16,23,35,34,51,24,19,4,7,2,0,2,0,4
000656.SZ,4,1,0,4,6,7,13,14,40,48,6,29,30,18,2,5,3,3,2,2,6
000657.SZ,1,0,0,3,6,11,14,11,41,40,21,31,21,20,13,6,5,5,2,1,3
000659.SZ,1,0,0,0,2,3,9,17,39,57,20,40,16,16,10,6,2,0,0,0,4
000661.SZ,4,0,1,2,0,4,12,18,38,47,26,39,15,16,11,5,4,2,3,1,4
000663.SZ,1,0,3,1,2,7,12,8,37,47,27,41,26,16,7,7,4,0,0,0,6
000665.SZ,5,4,4,8,3,7,9,26,29,35,24,29,17,14,13,7,4,2,0,0,23
000666.SZ,1,2,0,2,2,3,9,12,30,45,25,54,28,16,6,3,3,1,1,0,4
000667.SZ,0,0,1,0,3,6,11,14,21,72,26,60,25,16,10,2,1,1,0,0,2
000668.SZ,2,1,1,1,2,7,6,13,34,38,39,43,21,13,10,4,1,2,0,0,4
000669.SZ,0,0,0,0,0,13,6,19,24,51,35,53,41,11,3,9,0,0,0,0,0
000670.SZ,5,1,1,0,5,5,8,11,13,12,2,6,4,10,8,2,1,0,1,0,9
000671.SZ,5,1,3,3,4,4,12,25,37,40,26,37,18,11,11,6,1,0,0,0,17
000672.SZ,1,0,1,1,2,5,6,21,30,42,24,51,24,15,4,3,5,2,1,1,1
000676.SZ,1,1,2,4,1,1,13,20,26,45,23,53,30,17,7,4,2,0,0,0,5
000677.SZ,1,1,2,0,2,5,6,15,28,50,18,52,25,15,4,1,2,1,0,0,6
000678.SZ,4,0,1,5,3,8,12,17,23,39,25,37,30,10,7,4,1,3,1,0,17
000679.SZ,7,0,0,4,7,7,5,18,27,31,12,41,31,20,15,1,2,0,0,0,13
000680.SZ,0,1,0,1,3,4,9,17,32,44,26,37,26,17,7,4,3,2,0,0,5
000681.SZ,5,1,2,4,7,9,14,15,37,36,20,27,26,21,12,9,5,0,1,1,10
000682.SZ,0,0,0,0,5,6,16,11,31,48,20,35,27,16,12,10,2,2,2,0,1
000683.SZ,0,2,1,1,9,5,6,27,31,32,17,37,31,17,11,5,9,4,3,0,2
000685.SZ,0,0,0,0,0,0,4,5,16,53,60,56,21,3,0,0,0,0,0,0,0
000686.SZ,1,0,1,0,0,3,6,7,20,64,50,43,20,11,4,2,1,1,0,0,1
000688.SZ,1,1,0,4,2,7,12,23,20,38,26,39,19,9,10,9,5,1,4,1,5
000690.SZ,0,0,0,1,1,2,10,21,28,50,31,42,16,19,9,4,3,0,2,1,2
000691.SZ,1,0,1,0,2,7,12,12,26,41,37,43,36,14,7,2,2,0,0,0,5
000692.SZ,1,1,0,3,2,7,9,10,41,49,14,47,21,16,12,1,1,1,1,0,7
000695.SZ,1,0,1,1,2,4,12,14,25,50,19,44,26,13,6,5,6,5,1,0,2
000697.SZ,0,0,1,2,0,6,10,18,27,54,37,42,13,15,8,1,2,1,0,0,7
